Title	URL	Start date	Target date	Assignees	Milestone
Migrate deployment to Connect Cloud	https://github.com/DaniMori/pid-pec-iad/issues/19	Jul 10, 2026	Sep 25, 2026	alejandrommingo, CeliaSerranoMontilla, DaniMori	PEC launch
Improve instructions READme (Configuration)	https://github.com/DaniMori/pid-pec-iad/issues/34	Jul 31, 2026	Jul 31, 2026	BelenFC, DaniMori	Project end
Revisión de contenidos a evaluar	https://github.com/DaniMori/pid-iad-jamovi/issues/2	Sep 1, 2026	Sep 9, 2026	BelenFC	PEC launch
Diseño de los ítems de evaluación	https://github.com/DaniMori/pid-iad-jamovi/issues/1	Sep 3, 2026	Sep 14, 2026	jamartinezhuertas	PEC launch
Creación de módulos de actividad en Ágora	https://github.com/DaniMori/pid-iad-jamovi/issues/3	Sep 8, 2026	Sep 18, 2026	jamartinezhuertas	PEC launch
Elicitación de requisitos de la simulación	https://github.com/DaniMori/pid-iad-jamovi/issues/7	Sep 8, 2026	Sep 17, 2026	DaniMori	PEC launch
Implementación del código de la simulación	https://github.com/DaniMori/pid-iad-jamovi/issues/8	Sep 11, 2026	Oct 2, 2026	DaniMori	PEC launch
Revisión y actualización de instrucciones	https://github.com/DaniMori/pid-iad-jamovi/issues/4	Sep 14, 2026	Sep 25, 2026	jamartinezhuertas	PEC launch
Revisión y actualización de materiales auxiliares	https://github.com/DaniMori/pid-iad-jamovi/issues/5	Sep 21, 2026	Oct 9, 2026	jamartinezhuertas	PEC launch
Revisión y actualización del foro de ayuda	https://github.com/DaniMori/pid-iad-jamovi/issues/6	Sep 21, 2026	Oct 9, 2026	jamartinezhuertas	PEC launch
Implementación del código de corrección	https://github.com/DaniMori/pid-iad-jamovi/issues/40	Sep 21, 2026	Oct 9, 2026	DaniMori	PEC launch
Despliegue de la app de descarga de datos	https://github.com/DaniMori/pid-iad-jamovi/issues/9	Sep 28, 2026	Oct 9, 2026		PEC launch
Testeo del flujo de respuesta de estudiante	https://github.com/DaniMori/pid-iad-jamovi/issues/11	Oct 12, 2026	Oct 27, 2026	alejandrommingo, BelenFC, DaniMori, jamartinezhuertas, PilarPozo	PEC launch
Programación de la publicación de la actividad en Ágora	https://github.com/DaniMori/pid-iad-jamovi/issues/13	Oct 19, 2026	Oct 28, 2026	BelenFC	PEC launch
Aprobación de la implementación de la actividad	https://github.com/DaniMori/pid-iad-jamovi/issues/12	Oct 29, 2026	Oct 29, 2026	alejandrommingo, BelenFC, DaniMori, jamartinezhuertas, PilarPozo	PEC launch
Document "survey creation" instructions	https://github.com/DaniMori/pid-pec-iad/issues/8			BelenFC, jamartinezhuertas	Project end
Explain deletion of unencrypted token file better	https://github.com/DaniMori/pid-pec-iad/issues/13			alejandrommingo	Project end
Correct error in rendering "Google Spreadsheets connection instructions"	https://github.com/DaniMori/pid-pec-iad/issues/35			BelenFC, DaniMori	Project end
Translate instructions to Spanish (es_ES)	https://github.com/DaniMori/pid-pec-iad/issues/50				Project end
Drop dependency from "feedback-res/student_response_variables.csv" in "Data Download app"	https://github.com/DaniMori/pid-pec-iad/issues/51			DaniMori	Project end
